name,publisher,vgchartz_score,critic_score,user_score,total_shipped,total_sales,release_date,genre,release_year
RockMan 4: Aratanaru Yabou!!,Capcom,7.3,7.2,8.1,5066328.0,340568.42,2011-02-09,Platform,2011
El Dorado Gate Volume 5,Capcom,7.3,7.2,8.1,5066328.0,340568.42,2001-06-06,Role-Playing,2001
Penguin no Mondai: Saikyou Penguin Densetsu! A Penguin's Troubles,Konami,7.3,7.2,8.1,5066328.0,290000.0,2008-12-11,Adventure,2008
Puyo Pop Fever,Sega,7.3,7.9,8.1,5066328.0,10000.0,2004-07-20,Puzzle,2004
Steel Diver,Nintendo,7.3,5.6,8.1,5066328.0,500000.0,2011-03-27,Action,2011
Gensou Suikoden Card Stories,Konami,7.3,7.2,8.1,5066328.0,340568.42,2001-09-13,Role-Playing,2001
Shin Megami Tensei: Devil Children: Kuro no Sho,Atlus,7.3,7.2,8.1,5066328.0,340568.42,2000-11-17,Role-Playing,2000
Cold Fear,Ubisoft,7.3,7.2,8.1,5066328.0,110000.0,2005-03-15,Action,2005
Thexder NEO,Square Enix,7.3,7.2,8.1,5066328.0,340568.42,2010-01-28,Shooter,2010
Aliens: Colonial Marines,Sega,3.8,7.2,8.1,5066328.0,640000.0,2013-02-12,Shooter,2013
The Flashlight,Microsoft,7.3,7.2,8.1,5066328.0,340568.42,2009-11-06,Misc,2009
Puzzle Quest: Galactrix,D3 Publisher,7.3,7.2,8.1,5066328.0,160000.0,2009-02-24,Puzzle,2009
Ultra Dual X Racer,Microsoft,7.3,7.2,8.1,5066328.0,340568.42,2009-05-15,Racing,2009
WispLisp Array of List,Microsoft,7.3,7.2,8.1,5066328.0,340568.42,2011-08-10,Action,2011
2 in 1 Combo Pack: Sonic Mega Collection Plus / Super Monkey Ball Deluxe,Sega,7.3,7.2,8.1,5066328.0,20000.0,2005-01-01,Misc,2005
A Collection of Intellivision Classic Games,Activision,7.3,4.3,8.1,5066328.0,310000.0,1999-10-30,Misc,1999
The Great Ace Attorney Chronicles,Capcom,7.3,7.2,8.1,500000.0,340568.42,2021-07-27,Adventure,2021
Aquarium HD,Microsoft,7.3,7.2,8.1,5066328.0,340568.42,2009-02-23,Misc,2009
The Simpsons: Bart's House of Weirdness,Konami,7.3,7.2,8.1,5066328.0,340568.42,1992-01-01,Action,1992
Lord of the Sword,Sega,7.3,7.2,8.1,5066328.0,340568.42,1989-01-01,Adventure,1989
Tonka: On The Job,THQ,7.3,7.2,8.1,5066328.0,340568.42,2006-11-15,Action,2006
Pro-Putt Domo,Nintendo,7.3,7.2,8.1,5066328.0,340568.42,2009-10-19,Sports,2009
Urusei Yatsura: Stay With You,Hudson Soft,7.3,7.2,8.1,5066328.0,340568.42,1990-06-29,Adventure,1990
The Adventures of Bayou Billy,Konami,7.3,7.2,8.1,5066328.0,340568.42,1989-06-01,Action,1989
GoldenEye 007,Activision,9.0,8.0,8.1,5066328.0,1360000.0,2010-11-02,Shooter,2010
UNO,Ubisoft,7.3,7.2,8.1,5066328.0,340568.42,2017-11-07,Board Game,2017
Yu-Gi-Oh! Power of Chaos: Yugi the Destiny,Konami,7.3,7.2,8.1,5066328.0,0.0,2004-01-12,Strategy,2004
Imagine: Movie Star,Ubisoft,7.3,7.2,8.1,5066328.0,340000.0,2008-11-18,Simulation,2008
SingStar Dance,Sony Computer Entertainment,7.3,7.2,8.1,5066328.0,520000.0,2010-11-09,Misc,2010
Home Run Challenge,Microsoft,7.3,7.2,8.1,5066328.0,340568.42,2009-12-18,Sports,2009
Frogger 3D,Konami,7.3,7.0,8.1,5066328.0,210000.0,2011-09-20,Action,2011
Haunting Starring Polterguy,Electronic Arts,7.3,7.2,8.1,5066328.0,340568.42,1993-01-01,Action,1993
Enduro,Activision,7.3,7.2,8.1,5066328.0,870000.0,1983-01-01,Racing,1983
Football Manager Handheld 2010,Sega,7.3,6.0,8.1,5066328.0,350000.0,2009-10-30,Sports,2009
Avatar Fighter,Microsoft,7.3,7.2,8.1,5066328.0,340568.42,2011-03-20,Fighting,2011
Gensou Suikoden I & II,Konami,7.3,7.2,8.1,5066328.0,30000.0,2006-02-23,Role-Playing,2006
Hive,Microsoft,7.3,7.2,8.1,5066328.0,340568.42,2008-11-28,Strategy,2008
Super Paper Mario,Nintendo,7.3,8.5,8.1,4230000.0,340568.42,2007-04-09,Platform,2007
Clubhouse Games,Nintendo,7.3,8.3,8.1,2570000.0,340568.42,2006-10-09,Misc,2006
Pro Yakyuu Famista DS 2009,Namco Bandai,7.3,7.2,8.1,5066328.0,100000.0,2009-04-02,Sports,2009
Derby Tsuku 4: Derby Uma o Tsukurou!,Sega,7.3,7.2,8.1,5066328.0,340568.42,2004-12-02,Sports,2004
BeatMania IIDX 3rd Style,Konami,7.3,7.2,8.1,5066328.0,50000.0,2000-11-02,Simulation,2000
Tiny Toon Adventures: Buster's Hidden Treasure,Konami,7.3,7.2,8.1,5066328.0,340568.42,1993-01-01,Platform,1993
WarioWare: Smooth Moves,Nintendo,8.1,8.2,8.1,2350000.0,340568.42,2007-01-15,Puzzle,2007
Hasbro Family Fun Pack,Ubisoft,7.3,7.2,8.1,5066328.0,130000.0,2015-10-20,Misc,2015
Shining Force: The Legacy of Great Intention,Sega,7.3,7.2,8.1,5066328.0,340568.42,1992-03-19,Strategy,1992
H.E.R.O.,Activision,7.3,7.2,8.1,5066328.0,340568.42,1984-03-23,Action,1984
Dai-2-Ji Super Robot Taisen OG,Namco Bandai Games,7.3,7.2,8.1,5066328.0,220000.0,2012-11-29,Strategy,2012
Dragon Ball Z: Goku Gekitouden,Bandai,7.3,7.2,8.1,5066328.0,340568.42,1995-08-25,Role-Playing,1995
NCAA Football 98,EA Sports,7.3,7.2,8.1,5066328.0,700000.0,1997-07-31,Sports,1997
FIFA,EA Sports,7.3,7.2,8.1,325000000.0,340568.42,1993-12-15,Sports,1993
Jinx,Sony Computer Entertainment,7.3,7.2,8.1,5066328.0,340568.42,2003-01-31,Platform,2003
"Even So, I Still Love You",Microsoft,7.3,7.2,8.1,5066328.0,340568.42,2009-07-27,Action,2009
Rapala's Fishing Frenzy,Activision,7.3,7.2,8.1,5066328.0,220000.0,2008-09-02,Sports,2008
Murdered: Soul Suspect,Square Enix,7.3,7.2,8.1,510000.0,340568.42,2014-06-03,Action-Adventure,2014
Dance Dance Revolution Club Version Dreamcast Edition,Konami,7.3,7.2,8.1,5066328.0,340568.42,2000-04-27,Misc,2000
Splatoon 2,Nintendo,7.3,8.2,8.1,13300000.0,340568.42,2017-07-21,Shooter,2017
Flight Simulator 2002,Microsoft,7.3,7.2,8.1,5066328.0,340568.42,2001-10-19,Simulation,2001
Spacebrix,Microsoft,7.3,7.2,8.1,5066328.0,340568.42,2009-02-14,Puzzle,2009
Jikkyou Powerful Pro Yakyuu 8,Konami,7.3,7.2,8.1,5066328.0,290000.0,2001-08-30,Sports,2001
Street Fighter V: Arcade Edition,Capcom,7.3,7.2,8.1,5066328.0,340568.42,2018-01-16,Fighting,2018
Fat Princess,Sony Computer Entertainment,8.4,7.8,8.1,5066328.0,340568.42,2009-07-30,Action,2009
Dragon Ball Heroes: Ultimate Mission X,Namco Bandai Games,7.3,7.2,8.1,5066328.0,240000.0,2017-04-27,Misc,2017
Myst 10th Anniversary DVD Edition,Ubisoft,7.3,7.2,8.1,5066328.0,340568.42,2003-11-13,Adventure,2003
Wonder Boy in Monster Land,Sega,7.3,7.2,8.1,5066328.0,340568.42,2009-01-26,Adventure,2009
