nama,harga,penjual,lokasi_toko,terjual,rating
kerupuk seblak keriting/seblak bulat/kerupuk keriting pedas,Rp15.000,shofia snack bekasi,Kab. Bekasi,100+ terjual,4.7
kerupuk seblak bintang pedas,Rp15.500,keyz shop78,Bandung,60+ terjual,4.8
seblak instan isi 250g / seblak bondol / seblak pedas / kuliner bondol,Rp17.999,KULINER KHAS SUKABUMI,Kab. Sukabumi,100+ terjual,5.0
Pasar Keripik Kerupuk Seblak Mawar Pedas size Kiloan,Rp60.000,Pasar Keripik Bandung,Bandung,6 terjual,5.0
Seblak Instan Kenyang Murah Asli Bandung Reseller Tanpa Pengawet,Rp7.138,Berkah Food Bandung,Cimahi,7rb+ terjual,4.9
Gelichips Seblak Kering Sebring Camilan Kerupuk Pedas Daun Jeruk 65 gr - Pilus Cikuran,Rp12.500,Lidigeli,Kab. Garut,60+ terjual,4.7
[PUTRI] Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,Rp17.000,Central Seblak Nusantara,Tangerang Selatan,1rb+ terjual,5.0
Kerupuk Seblak Pedas Mini,Rp18.000,Snackzone PP,Jakarta Pusat,30+ terjual,5.0
Sebring seblak Rafael bumb pedas gurih daun jeruk 80gr,Rp4.951,Grosir Putra Bdg,Kab. Bandung,25 terjual,5.0
KERUPUK SEBLAK 500GR / KRUPUK SEBLAK DAUN JERUK / SEBLAK PEDAS,Rp19.900,Dapur Sehat21,Kab. Bandung,80+ terjual,4.9
Seblak Makroni pedas daun jeruk 500 gram,Rp25.000,Seblak putra bandung,Kab. Bandung,14 terjual,5.0
Kerupuk Bawang Warna Putih Dan Orange 500Gram Seblak Nasi Uduk Dll,Rp11.000,Distributor-Jaya,Tangerang,100+ terjual,4.9
seblak Abah aceng paling top pedas mantul,Rp5.000,cemilan Bandungstore,Cimahi,23 terjual,5.0
Kylafood Mix Pentol Kuah dan Seblak Original,Rp46.000,kylafood,Bandung,26 terjual,4.8
Cuanki lidah Toping baso aci seblak isi 5 pcs,Rp3.490,Grosir Putra Bdg,Kab. Bandung,0,0
Kylafood Seblak Rempah Autentik isi (10pcs),Rp100.208,kylafood,Bandung,60+ terjual,4.9
CUANKI TAHU KERING isi 500pcs Topping SEBLAK Cuanki Baso Aci,Rp130.000,jajanangarut19,Jakarta Selatan,19 terjual,5.0
Kylafood Mix Fav Selebgram Seblak Original & Batagor kuah,Rp47.840,kylafood,Bandung,100+ terjual,4.7
INDOMIE SEBLAK HOT JELETOT HYPEABIS 75G MI INSTAN HALAL,Rp3.150,LatteBless,Jakarta Selatan,250+ terjual,4.8
Cemilan Kerupuk Seblak Pedas Cemilan Imon 100Gr,Rp15.000,Moenero,Kab. Tangerang,13 terjual,5.0
Seblak kerupuk bintang pedas ekstra daun jeruk 100 gram,Rp5.000,Seblak putra bandung,Kab. Bandung,60+ terjual,4.9
Seblak instan / seblak instan BANDUNG / seblak instan pedas,Rp4.200,AZKIA RASA,Kab. Tasikmalaya,50+ terjual,4.9
Kerupuk Seblak Pedas Gurih Kemasan 100 Gram,Rp5.499,Baso Aci Ayang,Kab. Garut,90+ terjual,4.8
SEBRING snack seblak kering kriuk,Rp26.000,snack darling,Kab. Bandung Barat,0,0
Seblak Original k.y.l Kylafood (Spesial Panen Telur),Rp21.375,kylafood,Bandung,1rb+ terjual,4.9
Paket Isi 6 Cuanki Instan Lakoca | Batagor Instan | Seblak Basah GFS,Rp93.840,Lakoca Official Shop,Cimahi,100+ terjual,4.8
Cuanki tahu bulat kering 50 pcs toping seblak baso aci,Rp18.000,CUANKI CULAMETAN,Kab. Garut,30+ terjual,4.8
BUNDLING DUO Seblak Nyemex (Original-Extra Seuhah),Rp27.999,Seblak Nyemex,Bandung,7 terjual,5.0
